miRNA,logistic_regression_coefficient,absolute_coefficient,direction
hsa-miR-5189-5p,-0.18873103470473987,0.18873103470473987,Higher favors Control
hsa-miR-1288-3p,-0.11313682646121526,0.11313682646121526,Higher favors Control
hsa-miR-6780a-5p,-0.10075695252260795,0.10075695252260795,Higher favors Control
hsa-miR-5581-5p,-0.0940733489976474,0.0940733489976474,Higher favors Control
hsa-miR-4716-3p,-0.09129559326823086,0.09129559326823086,Higher favors Control
hsa-miR-1305,-0.08929141919554026,0.08929141919554026,Higher favors Control
hsa-miR-3156-5p,-0.07995121971296208,0.07995121971296208,Higher favors Control
hsa-miR-6512-5p,-0.07582083491531799,0.07582083491531799,Higher favors Control
hsa-miR-3125,-0.05843064767343278,0.05843064767343278,Higher favors Control
hsa-miR-6734-5p,-0.05509565521587761,0.05509565521587761,Higher favors Control
